baslik,sarki_sozu
Fındıklı Bizim Yolumuz,"Fındıklı bizim yolumuz eşim aman aman
Hovarda hovarda çıktı da soyumuz
Bu bizim eski de huyumuz eşim aman aman
Sen hancı ben yolcu çatma da kaşların
Sar dola boynuma kolların

Fındıklı'dan gelir geçersin eşim aman aman
Salına salına sigara da içersin
Ne alır ne ne vazgeçersin eşim aman aman
Sen hancı ben yolcu çatma da kaşların
Sar dola boynuma kolların"
Feraye,"Ferayedir benim adım
Ferayedir yar yandım aman esmer yarime
Yandım aman Feraye

Türkmen de gızı
Karaplanmış mayayı öf yar
Yandım aman esmer yarime
Aman da aman Feraye

Hop tirinina ninanay
Ninanay ninaninanom
Hayde efeler hayde"
Fariğ Olmam,"Fariğ olmam meşrebi rindaneden
Yüz çevirmem nafile peymaneden
Zemdekiçe haleti mestaneden
Çıkmam allah etmesin meyhaneden"
Gezdiğim Dikenli Aşk Yollarında,"Gezdiğim dikenli aşk yollarında
Elimden bir kırık saz geldi geçti
Kara talihimden yine bu yıl da
Baharı görmeden yaz geldi geçti

Adını andıkça titrerim hala
Var mı benim gibi aşka müptela
Muhabbet denilen püsküllü bela
Sanmayın başımdan az geldi geçti"
Gördüm Seni Bir Gün,"Gördüm seni bir gün yeni açmış güle döndüm
Coştum şakıyıp aşk okuyan bülbüle döndüm
Bak ayrılığın şimdi karanlık kucağında
Bir bağrı yanık boynu bükük sümbüle döndüm"
Gönül Şarkıları,"Seninle doğan güldür bu gönül
Ah bu gönül şarkıları
Dilimdeki bülbüldür bu gönül
Ah bu gönül şarkıları

Doğdu sevgi tasında gönül
Bir gençlik masasında
İkimiz arasında bu gönül
Ah bu gönül şarkıları

Kavuşmanın tadını
Ayrılık feryadını
Taşır senin adını gönül
Ah bu gönül şarkıları"
Gönlüme Gir Doğ Güneşim,"Gönlüme gir doğ güneşim
Kalbimi yak aşk ateşim
Kimsesizim yoktur eşim
Yandı hayat söndü emel

Koyda yanan bir ışığım
Bir kuruyan sarmaşığım
Kalbe akan hıçkırığım
Yandı hayat söndü emel

İçtim elem ırmağını
Gezdim o sevda bağını
Koklamadan zambağını
Yandı hayat söndü emel"
Gökyüzünde Duman Duman,"Rüzgar susmuş ses vermiyor nedendir
Sen gideli hayat benim çilemdir
Seven gönül yâr kıymeti bilendir
Gökyüzünde duman duman bulutsun
Söyle seni kalbim nasıl unutsun
Ay doğmuyor bulutlara darılmış
Benim gönlüm umutlara sarılmış
Bu aşkımız ağaçlara yazılmış
Gökyüzünde duman duman bulutsun
Söyle seni kalbim nasıl unutsun"
Gözlerin Hayran Bakarmış,"Gözlerin hayran bakarmış görmeyip ısrarımı
Bilmiyor avare gönlün öldüren kalp ağrımı
İstemem bir aşk yeter ben şimdi buldum yarimi
Her sevişmek bir sefer yakmak demektir bağrımı"
Gökyüzünde Yalnız Gezen Yıldızlar,"Gökyüzünde yalnız gezen yıldızlar
Yeryüzünde sizin kadar yalnızım
Bir haykırsam belki duyulur sesim
Ben yalnızım, ben yalnızım, yalnızım
Kaderim bu, böyle yazılmış yazım
Hiç kimsenin aşkında yoktur gözüm
Bir yalnızlık şarkısı söyler sayım
Ben yalnızım, ben yalnızım, yalnızım
Tatmadığım zevk kalmadı dünyada
Hangi kalbe girdimse kaldı izim
Taşa geçer, kendime geçmez sözüm
Ben yalnızım, ben yalnızım, yalnızım"
