baslik,sarki_sozu
Gönül Ne İçin,"Gönül ne için ateşlere yansın aman
Hicrinle melül pürkeder mi kalsın aman
Efsus halim mucibi terahhümdür aman
Ben helak oldum o dilber kalsın aman"
Gecenin Matemini,"Gecenin matemini aşkıma örtüp sarayım
Gittin artık seni ben nerde bulup yalvarayım
Şimde ben tıpkı şifasız kanayan bir yarayım
Gittin artık seni ben nerde bulup yalvarıyım"
Geçti Sevdalarla Ömrüm,"Geçti sevdalarla ömrüm ihtiyar oldum bugün
Ak pak olmuş saçlarımla bi karar oldum bugün
Bir muhabbet neşesi ile ilkbahar oldum bugün
Ak pak olmuş saçlarımla bi karar oldum bugün"
Gitme Sana Muhtacım,"Gitme sana muhtacım
Gözümde nursun başımda tacın muhtacım
Beni öldür öyle git
Yaşamak için senin sevgine muhtacım

Muhtacım gözlerine
Muhtacım sözlerine
Uzattım ellerimi
Muhtacım ellerine gitme

Şimdi bomboş ellerim
Seni çağırır yaşlı gözlerim
Muhtacım...

Beni öldür öyle git
Yaşamak için senin sevgine muhtacım

Sensiz bir dünyadayım
Gerçekten uzak bir rüyadayım muhtacım
Beni sensiz dünyadan
Sonsuz rüyadan uyandırda git muhtacım

Muhtacım gözlerine
Muhtacım sözlerine
Ruhumu ısıtacak
Sımsıcak nefesine gitme

Gitme sana muhtacım
Gözümde nursun başımda tacın muhtacım
Beni öldür öyle git
Yaşamak için senin sevgine muhtacım"
Gönlümün İçindedir,"Gönlümün içindedir gözden ırak sevgilim
Çekilmez biçimdedir bu iftirak sevgilim

Gözüm yolda gönlüm sende
Tahammül kalmadı bende
Yok mu acep bir bilen de

Seni nerde bulayım
Gökte mi yerde misin?
Ya kimlerden sorayım
Sonsuz seferde misin?

Sanma ki cefasızım
Aşkımda vefasızım
Sana ilk sözümdeyim sevgilim
Ahdımda riyasızım sevgilim"
Hani Bir Gün Gelecektin,"Hani bir gün gelecektin / Yine beni sevecektin
Benim için ölecektin / Hep sözlerin yalan imiş

Yalancısın, yalancısın
Gönlümü çaldın ansızın

Adadaki o şen günler / Hani nerde o yeminler
Gözüm yolda seni bekler / Hep sözlerin yalan imiş

Yalancısın, yalancısın
Gönlümü çaldın ansızın"
Hatırlar Mısın Beni Bir Zamanlar,"Hatırlar mısın beni bir zamanlar
Ne kadar severdim seni ne kadar
Gözümde güneştin gönlümde bahar
Ne kadar severdim seni ne kadar

Başımda eserdi sevdanın yeli
Hislerim taşkındı, gönlüm bir deli
Böyle derbeder miydim ya evveli
Ne kadar severdim seni ne kadar"
Hatırla Ey Peri,"Hatırla ey peri o mesud geceyi
Çamların altında verdiğin buseyi
Beni mecnun ettin sen de olasın
Aşkımı inkar edersen Allah'tan bulasın

Bana sen öğrettin aşkı sevdayı
Ne çabuk unuttun beni hercai
Beni mecnun ettin sen de olasın
Aşkımı inkar edersen Allah'tan bulasın"
Hicranla Tutuş Bağrımı Yak,"Hicranla tutuş, bağrımı yak, gözyaşın aksın
Hülya dolu akşamda sükun bulmayacaksın
Madem ki gönül şimdi teselliden uzaksın
Hülya dolu akşamda sükun bulmayacaksın"
Hala Yaşıyor Kalbimin En Gizli Yerinde,"Hala yaşıyor kalbimin en gizli yerinde
Bir hatıra ki izleri yıllarca derinde
Hummalı geçen bir gecenin ta seherinde
Bir hatıra ki izleri yıllarca derinde"
